,river,g,mean_priority,metric,value,norm,score,goal
760,MERSEY,35,0.363794506,Temp_Vel_avg,6.480284873,14.27068573,14.27068573,Temp_Vel_avg
761,MERSEY,35,0.363794506,X_stream_avg,0.121029692,0,0,X_stream_avg
762,MERSEY,35,0.363794506,AqBarrier_avg,0.013361129,2.477662368,2.477662368,AqBarrier_avg
763,MERSEY,35,0.363794506,urban_land_avg,3.93119593,10.40109628,10.40109628,urban_land_avg
764,MERSEY,35,0.363794506,clear_cut_avg,3.354963176,20.93181687,20.93181687,clear_cut_avg
765,MERSEY,35,0.363794506,agri_avg,0.217529399,0.536819873,0.536819873,agri_avg
766,MERSEY,35,0.363794506,Impv_avg,0.035391537,0.078317687,0.078317687,Impv_avg
767,MERSEY,35,0.363794506,N_Leach_avg,1.848999824,5.515205727,5.515205727,N_Leach_avg
768,MERSEY,35,0.363794506,P_Leach_avg,0.000153788,0.029635478,0.029635478,P_Leach_avg
769,MERSEY,35,0.363794506,pesticide_avg,6.28E-05,0.004911178,0.004911178,pesticide_avg
770,MERSEY,35,0.363794506,pollution_avg,0,0,0,pollution_avg
419,ECONOMY,20,0.368024571,SARproportion,0.169269208,16.99008801,16.99008801,SARproportion
420,ECONOMY,20,0.368024571,detections,1,8.333333333,8.333333333,detections
421,ECONOMY,20,0.368024571,BoatLaunch,0,0,0,BoatLaunch
422,ECONOMY,20,0.368024571,EBSAproportion,1,20,20,EBSAproportion
423,ECONOMY,20,0.368024571,NSResproportion,0,0,0,NSResproportion
424,ECONOMY,20,0.368024571,nativeFish,7,33.33333333,33.33333333,nativeFish
425,ECONOMY,20,0.368024571,RecFishproportion,2,25,25,RecFishproportion
426,ECONOMY,20,0.368024571,NSParksproportion,9,31.03448276,31.03448276,NSParksproportion
427,ECONOMY,20,0.368024571,salmon_stat_avg,0,0,0,salmon_stat_avg
428,ECONOMY,20,0.368024571,habitat_suitability_avg,0.013690141,0,0,habitat_suitability_avg
429,ECONOMY,20,0.368024571,road_desnity_avg,2.271010429,58.22315005,58.22315005,road_desnity_avg
430,ECONOMY,20,0.368024571,Temp_Vel_avg,0.636545151,1.401780321,1.401780321,Temp_Vel_avg
431,ECONOMY,20,0.368024571,X_stream_avg,0.489924794,37.48433018,37.48433018,X_stream_avg
432,ECONOMY,20,0.368024571,AqBarrier_avg,0.027441928,5.088779035,5.088779035,AqBarrier_avg
433,ECONOMY,20,0.368024571,urban_land_avg,5.43244155,18.05608317,18.05608317,urban_land_avg
434,ECONOMY,20,0.368024571,clear_cut_avg,6.738981823,44.65661518,44.65661518,clear_cut_avg
435,ECONOMY,20,0.368024571,agri_avg,5.634511137,16.70950751,16.70950751,agri_avg
436,ECONOMY,20,0.368024571,Impv_avg,0.080765437,1.273900975,1.273900975,Impv_avg
437,ECONOMY,20,0.368024571,N_Leach_avg,7.239309908,21.59344903,21.59344903,N_Leach_avg
438,ECONOMY,20,0.368024571,P_Leach_avg,0.000273726,0.052748038,0.052748038,P_Leach_avg
439,ECONOMY,20,0.368024571,pesticide_avg,0.039268133,3.070860739,3.070860739,pesticide_avg
440,ECONOMY,20,0.368024571,pollution_avg,0,0,0,pollution_avg
925,COUNTRY_HARBOUR,43,0.372028083,SARproportion,0,0,0,SARproportion
926,COUNTRY_HARBOUR,43,0.372028083,detections,1,8.333333333,8.333333333,detections
927,COUNTRY_HARBOUR,43,0.372028083,BoatLaunch,1,50,50,BoatLaunch
928,COUNTRY_HARBOUR,43,0.372028083,EBSAproportion,0,0,0,EBSAproportion
929,COUNTRY_HARBOUR,43,0.372028083,NSResproportion,0,0,0,NSResproportion
930,COUNTRY_HARBOUR,43,0.372028083,nativeFish,15,71.42857143,71.42857143,nativeFish
931,COUNTRY_HARBOUR,43,0.372028083,RecFishproportion,2,25,25,RecFishproportion
932,COUNTRY_HARBOUR,43,0.372028083,NSParksproportion,0,0,0,NSParksproportion
933,COUNTRY_HARBOUR,43,0.372028083,salmon_stat_avg,0.127272727,15.90909091,15.90909091,salmon_stat_avg
934,COUNTRY_HARBOUR,43,0.372028083,habitat_suitability_avg,0.679737958,68.02375393,68.02375393,habitat_suitability_avg
935,COUNTRY_HARBOUR,43,0.372028083,road_desnity_avg,1.543938411,30.39175076,30.39175076,road_desnity_avg
936,COUNTRY_HARBOUR,43,0.372028083,Temp_Vel_avg,2.717072041,5.983453192,5.983453192,Temp_Vel_avg
937,COUNTRY_HARBOUR,43,0.372028083,X_stream_avg,0.354660527,23.73979842,23.73979842,X_stream_avg
938,COUNTRY_HARBOUR,43,0.372028083,AqBarrier_avg,0.006832401,1.266987396,1.266987396,AqBarrier_avg
939,COUNTRY_HARBOUR,43,0.372028083,urban_land_avg,4.693460141,14.28795027,14.28795027,urban_land_avg
940,COUNTRY_HARBOUR,43,0.372028083,clear_cut_avg,6.503825278,43.00797131,43.00797131,clear_cut_avg
941,COUNTRY_HARBOUR,43,0.372028083,agri_avg,0.886189359,2.533139814,2.533139814,agri_avg
942,COUNTRY_HARBOUR,43,0.372028083,Impv_avg,0.041870436,0.24903395,0.24903395,Impv_avg
943,COUNTRY_HARBOUR,43,0.372028083,N_Leach_avg,0.016137155,0.048133986,0.048133986,N_Leach_avg
944,COUNTRY_HARBOUR,43,0.372028083,P_Leach_avg,0.000247392,0.047673294,0.047673294,P_Leach_avg
945,COUNTRY_HARBOUR,43,0.372028083,pesticide_avg,5.65E-05,0.004420245,0.004420245,pesticide_avg
946,COUNTRY_HARBOUR,43,0.372028083,pollution_avg,0,0,0,pollution_avg
221,MISSAGUASH,11,0.373749188,SARproportion,0,0,0,SARproportion
222,MISSAGUASH,11,0.373749188,detections,0,0,0,detections
223,MISSAGUASH,11,0.373749188,BoatLaunch,0,0,0,BoatLaunch
224,MISSAGUASH,11,0.373749188,EBSAproportion,1,20,20,EBSAproportion
225,MISSAGUASH,11,0.373749188,NSResproportion,0,0,0,NSResproportion
226,MISSAGUASH,11,0.373749188,nativeFish,0,0,0,nativeFish
227,MISSAGUASH,11,0.373749188,RecFishproportion,1,0,0,RecFishproportion
228,MISSAGUASH,11,0.373749188,NSParksproportion,3,10.34482759,10.34482759,NSParksproportion
229,MISSAGUASH,11,0.373749188,salmon_stat_avg,0,0,0,salmon_stat_avg
230,MISSAGUASH,11,0.373749188,habitat_suitability_avg,0.438679612,43.40435995,43.40435995,habitat_suitability_avg
231,MISSAGUASH,11,0.373749188,road_desnity_avg,1.873587922,43.01031803,43.01031803,road_desnity_avg
232,MISSAGUASH,11,0.373749188,Temp_Vel_avg,0,0,0,Temp_Vel_avg
233,MISSAGUASH,11,0.373749188,X_stream_avg,0.489907316,37.48255425,37.48255425,X_stream_avg
234,MISSAGUASH,11,0.373749188,AqBarrier_avg,0.539263502,100,100,AqBarrier_avg
235,MISSAGUASH,11,0.373749188,urban_land_avg,3.155702984,6.446787766,6.446787766,urban_land_avg
236,MISSAGUASH,11,0.373749188,clear_cut_avg,0.511253278,0.995034352,0.995034352,clear_cut_avg
237,MISSAGUASH,11,0.373749188,agri_avg,24.1317846,71.93410312,71.93410312,agri_avg
238,MISSAGUASH,11,0.373749188,Impv_avg,0.145122169,2.969673945,2.969673945,Impv_avg
239,MISSAGUASH,11,0.373749188,N_Leach_avg,12.01695862,35.844243,35.844243,N_Leach_avg
240,MISSAGUASH,11,0.373749188,P_Leach_avg,0.047166722,9.089194986,9.089194986,P_Leach_avg
241,MISSAGUASH,11,0.373749188,pesticide_avg,0.265743457,20.78176575,20.78176575,pesticide_avg
242,MISSAGUASH,11,0.373749188,pollution_avg,0,0,0,pollution_avg
837,BARRINGTON_CLYDE,39,0.375132638,SARproportion,0,0,0,SARproportion
838,BARRINGTON_CLYDE,39,0.375132638,detections,5,41.66666667,41.66666667,detections
839,BARRINGTON_CLYDE,39,0.375132638,BoatLaunch,0,0,0,BoatLaunch
840,BARRINGTON_CLYDE,39,0.375132638,EBSAproportion,3,60,60,EBSAproportion
841,BARRINGTON_CLYDE,39,0.375132638,NSResproportion,0,0,0,NSResproportion
842,BARRINGTON_CLYDE,39,0.375132638,nativeFish,7,33.33333333,33.33333333,nativeFish
843,BARRINGTON_CLYDE,39,0.375132638,RecFishproportion,2,25,25,RecFishproportion
